case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10224740,HY411595,09/05/2015 12:45:00 PM,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,14,35,1,
10224744,HY411605,09/05/2015 01:00:00 PM,THEFT,RETAIL THEFT,GROCERY FOOD STORE,10,25,2,
10224770,HY411586,09/05/2015 12:40:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,7,20,3,
10224780,HY411660,09/05/2015 02:30:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,10,24,4,
10224782,HY411661,09/05/2015 02:35:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,7,6,5,
10224788,HY410899,03/27/2014 12:01:00 AM,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,POLICE FACILITY/VEH PARKING LOT,2,3,6,
10224791,HY411719,09/05/2015 03:28:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,7,16,3,
10224792,HY411709,09/05/2015 03:20:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,11,28,7,
10224809,HY411732,09/05/2015 03:40:00 PM,NARCOTICS,POSS: CRACK,STREET,5,34,8,
10224810,HY411746,09/05/2015 03:15:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,5,9,9,
10224822,HY411777,09/05/2015 04:16:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,7,16,5,
10224835,HY411770,09/05/2015 03:45:00 PM,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,11,28,7,
10224840,HY411786,09/05/2015 04:15:00 PM,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,12,2,10,
10224841,HY411731,09/05/2015 03:30:00 PM,THEFT,RETAIL THEFT,GROCERY FOOD STORE,10,25,2,
10224853,HY411790,09/05/2015 04:15:00 PM,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,11,24,11,
10224854,HY411699,09/05/2015 12:30:00 PM,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,6,21,12,
10224858,HY411804,09/05/2015 04:42:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,4,7,13,
10224863,HY411809,09/05/2015 04:01:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,8,15,14,
10224867,HY411838,09/05/2015 05:14:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,11,2,7,
10224906,HY411860,09/05/2015 04:48:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,21,15,
10224923,HY411851,09/05/2015 04:30:00 PM,BATTERY,SIMPLE,SIDEWALK,10,24,16,
10224930,HY411813,09/05/2015 04:31:00 PM,ASSAULT,SIMPLE,APARTMENT,11,28,17,
10224931,HY411874,09/05/2015 05:21:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,11,24,7,
10224940,HY411926,09/05/2015 06:12:00 PM,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,SIDEWALK,14,26,1,
10224942,HY411901,09/05/2015 05:30:00 PM,THEFT,$500 AND UNDER,STREET,4,7,18,
10224944,HY411919,09/05/2015 01:21:00 PM,PUBLIC PEACE VIOLATION,OTHER VIOLATION,APARTMENT,9,12,19,
10224945,HY411865,09/05/2015 05:40:00 PM,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE PORCH/HALLWAY,9,16,19,
10224951,HY411955,09/05/2015 07:08:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,4,8,20,
10224952,HY411667,09/05/2015 02:02:00 PM,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,DRUG STORE,5,34,21,
10224957,HY411970,09/05/2015 07:09:00 PM,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,7,16,22,
10224959,HY411974,09/05/2015 07:35:00 PM,CRIMINAL TRESPASS,TO LAND,SPORTS ARENA/STADIUM,1,2,23,
10224966,HY411947,09/05/2015 07:00:00 PM,CRIMINAL DAMAGE,TO VEHICLE,STREET,4,7,24,
10224970,HY411916,09/05/2015 05:45:00 PM,THEFT,OVER $500,PARK PROPERTY,12,27,25,
10224971,HY412002,09/05/2015 08:02:00 PM,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,12,27,26,
10224974,HY412010,09/05/2015 08:20:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,24,7,
10224978,HY412027,09/05/2015 08:25:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,8,18,14,
10224982,HY411995,09/05/2015 07:59:00 PM,NARCOTICS,POSS: COCAINE,STREET,8,16,27,
10224988,HY412016,09/05/2015 08:20:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,9,11,28,
10224994,HY411981,09/05/2015 07:35:00 PM,THEFT,$500 AND UNDER,OTHER,10,24,2,
10224997,HY412011,09/05/2015 08:01:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,5,34,29,
10225000,HY412017,09/05/2015 08:38:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),4,7,20,
10225002,HY411473,09/05/2015 10:13:00 AM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,11,24,7,
10225011,HY412048,09/05/2015 08:52:00 PM,NARCOTICS,POSS: HEROIN(WHITE),OTHER,7,15,5,
10225013,HY411896,09/05/2015 05:36:00 PM,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CONSTRUCTION SITE,12,2,30,
10225015,HY412040,09/05/2015 09:04:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,6,6,31,
10225038,HY412035,09/05/2015 08:30:00 PM,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,3,20,32,
10225043,HY412060,09/05/2015 08:55:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,2,4,33,
10225044,HY412086,09/05/2015 09:25:00 PM,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,6,6,12,
10225050,HY412050,09/05/2015 09:00:00 PM,CRIMINAL TRESPASS,TO LAND,HOSPITAL BUILDING/GROUNDS,12,2,34,
10225051,HY412047,09/05/2015 06:10:00 PM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESTAURANT,4,10,35,
10225055,HY412073,09/05/2015 09:00:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),10,22,36,
10225056,HY412046,09/05/2015 08:20:00 PM,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,12,26,30,
12571973,JE482457,12/19/2021 07:23:00 AM,BATTERY,SIMPLE,SIDEWALK,9,15,28,
10225061,HY412077,09/05/2015 09:22:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA STATION,6,6,12,
10225067,HY412095,09/05/2015 09:15:00 PM,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,9,11,37,
10225068,HY412133,09/05/2015 09:50:00 PM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,11,24,38,
10225073,HY412078,09/05/2015 08:03:00 PM,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,8,15,39,
10225074,HY412098,09/05/2015 09:10:00 PM,NARCOTICS,POSS: HEROIN(WHITE),STREET,7,6,5,
10225096,HY412036,09/05/2015 08:45:00 PM,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,9,12,40,
10225099,HY412107,09/05/2015 09:55:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,10,22,16,
10225101,HY412053,09/05/2015 08:38:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,7,20,3,
10225121,HY412189,09/05/2015 11:55:00 PM,GAMBLING,GAME/DICE,SIDEWALK,7,20,41,
10225127,HY412176,09/05/2015 11:05:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,8,16,42,
10225128,HY412215,09/06/2015 12:02:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),4,7,20,
10225131,HY412137,09/05/2015 09:35:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,VEHICLE NON-COMMERCIAL,11,28,43,
10225132,HY412181,09/05/2015 11:40:00 PM,NARCOTICS,POSS: HEROIN(BRN/TAN),STREET,7,15,5,
10225133,HY412232,09/06/2015 12:35:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,11,2,7,
10225134,HY412226,09/06/2015 12:01:00 AM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,3,5,44,
10225140,HY412231,09/06/2015 12:25:00 AM,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,1,2,45,
10225145,HY412158,09/05/2015 10:35:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,3,5,46,
10225146,HY412250,09/06/2015 12:08:00 AM,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,10,24,4,
10225162,HY412225,09/05/2015 11:42:00 PM,NARCOTICS,FOUND SUSPECT NARCOTICS,APARTMENT,11,27,7,
10225169,HY412026,09/05/2015 07:38:00 PM,BATTERY,AGG PO HANDS ETC SERIOUS INJ,ALLEY,11,27,47,
10225186,HY412278,09/06/2015 01:24:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,10,22,36,
10225188,HY412261,09/05/2015 11:58:00 PM,ASSAULT,SIMPLE,APARTMENT,6,6,48,
10225192,HY412323,09/06/2015 02:33:00 AM,NARCOTICS,POSS: CRACK,STREET,7,17,5,
10225194,HY412281,09/06/2015 01:37:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,12,25,10,
10225196,HY412326,09/06/2015 02:05:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,10,24,36,
10225197,HY412255,09/06/2015 12:05:00 AM,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,6,17,12,
10225199,HY412339,09/06/2015 02:06:00 AM,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENTIAL YARD (FRONT/BACK),8,23,39,
10225201,HY412269,09/06/2015 12:49:00 AM,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENCE,6,21,12,
10225205,HY412305,09/06/2015 01:35:00 AM,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),8,23,14,
10225216,HY412279,09/05/2015 11:33:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,6,6,49,
10225227,HY412321,09/06/2015 01:44:00 AM,NARCOTICS,POSS: HEROIN(WHITE),STREET,11,28,7,
10225230,HY412317,09/06/2015 02:10:00 AM,CRIMINAL TRESPASS,TO VEHICLE,VEHICLE NON-COMMERCIAL,11,28,50,
10225237,HY412368,09/06/2015 02:26:00 AM,CRIMINAL TRESPASS,TO LAND,CHA PARKING LOT/GROUNDS,4,10,51,
10225253,HY412351,09/06/2015 03:00:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,APARTMENT,8,16,52,
10225256,HY412343,09/06/2015 02:40:00 AM,ASSAULT,AGGRAVATED: HANDGUN,CHA HALLWAY/STAIRWELL/ELEVATOR,1,3,53,
10225294,HY412378,09/06/2015 03:50:00 AM,ASSAULT,SIMPLE,BAR OR TAVERN,12,27,54,
10225309,HY412380,09/06/2015 03:15:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,27,47,
10225314,HY412407,09/06/2015 03:32:00 AM,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,11,28,47,
10225320,HY412333,09/06/2015 02:17:00 AM,ASSAULT,AGGRAVATED PO: HANDGUN,ALLEY,12,1,54,
10225323,HY412406,09/06/2015 04:15:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,3,20,55,
10225329,HY412426,09/06/2015 04:47:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,4,10,13,
10225343,HY412440,09/06/2015 05:48:00 AM,NARCOTICS,FOUND SUSPECT NARCOTICS,ALLEY,4,10,20,
10225347,HY412453,09/06/2015 06:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,10,24,16,
10225360,HY412502,09/05/2015 10:00:00 PM,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,4,7,56,
10225363,HY412479,09/06/2015 07:15:00 AM,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,3,20,57,
10225364,HY412504,09/06/2015 08:05:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,9,11,28,
10225366,HY412517,09/05/2015 11:00:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,2,4,58,
10225369,HY412494,09/06/2015 08:02:00 AM,BURGLARY,FORCIBLE ENTRY,STREET,7,17,59,
10225376,HY412509,09/06/2015 08:15:00 AM,BATTERY,SIMPLE,APARTMENT,12,2,30,
10225379,HY412437,09/06/2015 05:04:00 AM,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,APARTMENT,3,6,60,
10225404,HY412590,09/06/2015 12:00:00 AM,THEFT,OVER $500,SIDEWALK,2,4,61,
10225432,HY412555,09/06/2015 09:36:00 AM,ASSAULT,SIMPLE,APARTMENT,7,16,22,
10047230,HY236509,04/26/2015 11:16:00 AM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CONVENIENCE STORE,6,21,48,
10225440,HY412449,09/06/2015 06:25:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,5,34,62,
10225460,HY412653,09/06/2015 11:40:00 AM,NARCOTICS,POSS: HALLUCINOGENS,CTA BUS STOP,12,2,10,
11859827,JC471571,10/13/2019 07:50:00 PM,THEFT,RETAIL THEFT,APPLIANCE STORE,12,25,25,
10225470,HY412605,09/06/2015 09:10:00 AM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,14,26,1,
10225490,HY412665,09/06/2015 11:44:00 AM,GAMBLING,GAME/DICE,SIDEWALK,7,20,41,
10225497,HY412687,09/06/2015 12:00:00 PM,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,10,24,36,
10225501,HY412714,09/06/2015 12:30:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,8,15,63,
10225511,HY412616,09/06/2015 10:45:00 AM,ASSAULT,SIMPLE,RESIDENCE,12,25,54,
10225512,HY412725,09/06/2015 12:16:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,3,20,64,
10225517,HY412675,09/06/2015 11:21:00 AM,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,STREET,7,6,65,
10225519,HY412454,09/06/2015 02:15:00 AM,ASSAULT,SIMPLE,RESIDENCE,6,6,48,
10225531,HY412676,09/06/2015 12:07:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,2,2,66,
10225537,HY412730,09/06/2015 12:40:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,8,15,27,
10225540,HY412750,09/06/2015 12:59:00 PM,NARCOTICS,POSS: HEROIN(WHITE),OTHER,6,8,12,
10225554,HY412105,09/05/2015 09:55:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,10,28,16,
10225563,HY412796,09/06/2015 02:05:00 PM,NARCOTICS,POSS: HEROIN(WHITE),PARKING LOT/GARAGE(NON.RESID.),12,2,10,
10225564,HY412769,09/06/2015 01:10:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,2,7,
10225570,HY412789,09/06/2015 02:00:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,7,17,5,
10225571,HY412783,09/06/2015 01:46:00 PM,NARCOTICS,POSS: HEROIN(WHITE),STREET,12,27,10,
10225592,HY412710,09/06/2015 12:20:00 PM,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,11,2,67,
10225596,HY412493,09/06/2015 08:05:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,28,47,
10225602,HY412822,09/06/2015 02:15:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,27,7,
10225612,HY412878,09/06/2015 03:25:00 PM,OTHER OFFENSE,PAROLE VIOLATION,STREET,11,28,67,
